doi,title,journal,year,url,status,info
10.1016/j.revmic.2024.100818,"Actinomma sogndalensis n. sp. (Radiolaria, Polycystina) an endemic species to the Sognefjord, western Norway",Revue de Micropaléontologie,2024,https://doi.org/10.1016/j.revmic.2024.100818,FAILED,not pdf content-type: application/json
10.1016/j.quascirev.2024.109054,Southern Ocean Water Mass method: A new statistical approach using microfossil radiolaria for paleoceanographic insights for the Southwest Pacific sector of the Southern Ocean,Quaternary Science Reviews,2024,https://doi.org/10.1016/j.quascirev.2024.109054,FAILED,not pdf content-type: application/json
10.1098/rsbl.2013.0283,Ancient DNA complements microfossil record in deep-sea subsurface sediments,Biology Letters,2013,https://www.ncbi.nlm.nih.gov/pmc/articles/3730641,FAILED,403 Client Error: Forbidden for url: https://pmc.ncbi.nlm.nih.gov/articles/3730641
10.1017/s2475262200006134,"A new phylogenetic lineage (Radiolaria) from the uppermost Triassic of the Queen Charlotte Islands, British Columbia",The Paleontological Society Special Publications,1992,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/D6D7735D8F5855F3D8D4BBF81FF610E7/S2475262200006134a.pdf/div-class-title-a-new-phylogenetic-lineage-radiolaria-from-the-uppermost-triassic-of-the-queen-charlotte-islands-british-columbia-div.pdf,OK,0.16MB
10.22456/1807-9806.20301,"O Gênero Stylatractus Haeckel, 1887 (Radiolaria) em Sedimentos do Pleistoceno Superior - Holoceno da Margem Continental do Rio Grande do Sul",Pesquisas em Geociências,2001,https://seer.ufrgs.br/PesquisasemGeociencias/article/download/20301/pdf,OK,3.02MB
10.1093/plankt/fbs028,Mesozooplankton and particulate matter responses to a deep-water frontal system in the southern California Current System,Journal of Plankton Research,2012,https://academic.oup.com/plankt/article-pdf/34/9/815/4322814/fbs028.pdf,FAILED,403 Client Error: Forbidden for url: https://academic.oup.com/plankt/article-pdf/34/9/815/4322814/fbs028.pdf
10.1144/jm.15.2.131,Abdomen wall structure of &amp;lt;i&amp;gt;Holocryptocanium barbui&amp;lt;/i&amp;gt; (Radiolaria),Journal of Micropalaeontology,1996,https://jm.copernicus.org/articles/15/131/1996/jm-15-131-1996.pdf,OK,1.16MB
10.12681/bgsg.16332,"PALAEONTOLOGICAL (RADIOLARIAN) LATE JURASSIC AGE CONSTRAINT FOR THE STEPANAVAN OPHIOLITE (LESSER CAUCASUS, ARMENIA)",Bulletin of the Geological Society of Greece,2018,https://ejournals.epublishing.ekt.gr/index.php/geosociety/article/download/16332/14557,OK,3.65MB
10.2183/pjab.80.10,"Stratigraphy of the Middle-Upper Permian and Lowermost Triassic at Chaotian, Sichuan, China Record of Late Permian double mass extinction event",Proceedings of the Japan Academy Series B,2004,https://www.jstage.jst.go.jp/article/pjab/80/1/80_1_10/_pdf,OK,1.10MB
10.1017/jpa.2025.10131,Resolution of taxonomic ambiguities among siliceous Cambrian microfossils: poriferan affinity of <i>Blastulospongia</i> and phylogeny of archaeospicularians (Radiolaria),Journal of Paleontology,2025,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/BE1B984A82F8CD14E40EC1B4B1C00D9B/S0022336025101315a.pdf/div-class-title-resolution-of-taxonomic-ambiguities-among-siliceous-cambrian-microfossils-poriferan-affinity-of-span-class-italic-blastulospongia-span-and-phylogeny-of-archaeospicularians-radiolaria-div.pdf,OK,26.60MB
10.4319/lo.1990.35.1.0154,Oceanic province: Assessment from the time-series diatom fluxes in the northeastern Pacific,Limnology and Oceanography,1990,https://onlinelibrary.wiley.com/doi/pdfdirect/10.4319/lo.1990.35.1.0154,FAILED,403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.4319/lo.1990.35.1.0154
10.1016/j.revmic.2023.100752,"Late Sinemurian and Early Pliensbachian Radiolaria from Mount Rettenstein (Northern Calcareous Alps, Austria). Part 2. Entactinaria and Spumellaria",Revue de Micropaléontologie,2023,https://doi.org/10.1016/j.revmic.2023.100752,FAILED,not pdf content-type: application/json
10.34194/geusb.v1.4649,The Upper Jurassic of Europe: its subdivision and correlation,Geological Survey of Denmark and Greenland Bulletin,2003,https://geusbulletin.org/index.php/geusb/article/download/4649/10302,OK,0.70MB
10.1073/pnas.0812979106,Radiolarians decreased silicification as an evolutionary response to reduced Cenozoic ocean silica availability,Proceedings of the National Academy of Sciences,2009,https://www.ncbi.nlm.nih.gov/pmc/articles/2695065,FAILED,403 Client Error: Forbidden for url: https://pmc.ncbi.nlm.nih.gov/articles/2695065
10.1038/s41598-020-77812-6,Innovative microfossil (radiolarian) analysis using a system for automated image collection and AI-based classification of species,Scientific Reports,2020,https://www.nature.com/articles/s41598-020-77812-6.pdf,OK,2.23MB
10.3389/feart.2023.1176196,Deep ocean particle flux in the Northeast Atlantic over the past 30 years: carbon sequestration is controlled by ecosystem structure in the upper ocean,Frontiers in Earth Science,2023,https://www.frontiersin.org/articles/10.3389/feart.2023.1176196/pdf?isPublishedV2=False,OK,5.83MB
10.7186/bgsm51200504,"Permian Radiolarian Biostratigraphy of the Semanggol Formation, south Kedah, Peninsular Malaysia",Bulletin of the Geological Society of Malaysia,2005,http://www.gsm.org.my/products/702001-100549-PDF.pdf,FAILED,404 Client Error: Not Found for url: http://gsm.org.my/products/702001-100549-PDF.pdf
10.1002/gj.3350250216,"Plankton stratigraphy edited by H. M. Bolli, J. B. Saunders and K. Perch‐Nielsen, Volume 1: Planktonic foraminifera, calcareous nannofossils and calpionellids. No. of pages: 599. Volume 2: Radiolaria, diatoms, silicoflagellates, dinoflagellates and ichthyoliths, Cambridge University Press, 1989. No. of pages: 407. Price: £30 (paperback)",Geological Journal,1990,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/gj.3350250216,FAILED,403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/gj.3350250216
10.5194/bg-11-5847-2014,Protist community composition during early phytoplankton blooms in the naturally iron-fertilized Kerguelen area (Southern Ocean),Biogeosciences,2014,https://bg.copernicus.org/articles/11/5847/2014/bg-11-5847-2014.pdf,OK,1.57MB
10.1144/jm.9.1.45,"Radiolarians and Diatoms from the mid-Cretaceous Successions of the Sergipe Basin, Northeastern Brazil: palaeoceanographic Assessment",Journal of Micropalaeontology,1990,https://jm.copernicus.org/articles/9/45/1990/jm-9-45-1990.pdf,OK,1.82MB
10.5026/jgeography.111.33,Taxonomy and Diversity History of Paleozoic Radiolarians,Journal of Geography (Chigaku Zasshi),2002,https://www.jstage.jst.go.jp/article/jgeography1889/111/1/111_1_33/_pdf,OK,3.88MB
10.1144/jm.27.2.191,"&amp;lt;i&amp;gt;Riedeliusella,&amp;lt;/i&amp;gt; a new name for the genus &amp;lt;i&amp;gt;Riedelius&amp;lt;/i&amp;gt; De Wever, 1982 (Radiolaria), non Hudec, 1961 (Gastropoda)",Journal of Micropalaeontology,2008,https://jm.copernicus.org/articles/27/191/2008/jm-27-191-2008.pdf,OK,0.03MB
10.7186/bgsm57201107,Lower Carboniferous (Tournaisian) radiolarians from Peninsular Malaysia and their significance,Bulletin of the Geological Society of Malaysia,2011,http://www.gsm.org.my/products/702001-100361-PDF.pdf,FAILED,404 Client Error: Not Found for url: http://gsm.org.my/products/702001-100361-PDF.pdf
10.1111/1462-2920.16524,DNA metabarcoding focused on difficult‐to‐culture protists: An effective approach to clarify biological interactions,Environmental Microbiology,2023,https://fra.repo.nii.ac.jp/records/2005005,FAILED,not pdf content-type: text/html; charset=utf-8
10.1080/03115519608619222,"Mid-Cretaceous calcareous and siliceous microfossils from the basal Gearle Siltstone, Giralia Anticline, Southern Carnarvon Basin",Alcheringa An Australasian Journal of Palaeontology,1996,https://www.tandfonline.com/doi/pdf/10.1080/03115519608619222?needAccess=true,FAILED,403 Client Error: Forbidden for url: https://www.tandfonline.com/doi/pdf/10.1080/03115519608619222?needAccess=true
10.1029/2018gb005877,The Significance of Giant Phaeodarians (Rhizaria) to Biogenic Silica Export in the California Current Ecosystem,Global Biogeochemical Cycles,2018,https://agupubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2018GB005877,FAILED,403 Client Error: Forbidden for url: https://agupubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2018GB005877
10.1144/jm.27.2.189,"&amp;lt;i&amp;gt;Pentaspongoreta&amp;lt;/i&amp;gt;, nomen novum for the genus &amp;lt;i&amp;gt;Anachoreta&amp;lt;/i&amp;gt; O’Dogherty, 1994 (Radiolaria), non Gistel, 1848 (Hymenoptera)",Journal of Micropalaeontology,2008,https://jm.copernicus.org/articles/27/189/2008/jm-27-189-2008.pdf,OK,0.03MB
10.12681/bgsg.17111,"Palaeoceanographic implications of new and revised bio-chronostratigraphic constraints from the Profitis Ilias Unit (Rhodes, Greece)",Bulletin of the Geological Society of Greece,2018,https://ejournals.epublishing.ekt.gr/index.php/geosociety/article/download/17111/15268,OK,3.48MB
10.1016/j.jseaes.2011.04.027,"Early-middle Carnian radiolarian cherts within the Eymir Unit, Central Turkey: Constraints for the age of the Palaeotethyan Karakaya Complex",Journal of Asian Earth Sciences,2011,https://hdl.handle.net/11511/32110,FAILED,"HTTPSConnectionPool(host='hdl.handle.net', port=443): Max retries exceeded with url: /11511/32110 (Caused by ResponseError('too many 500 error responses'))"
10.1016/j.cretres.2011.12.010,"Bio-events, foraminiferal and nannofossil biostratigraphy of the Cenomanian/Turonian boundary interval in the Subsilesian Nappe, Rybie section, Polish Carpathians",Cretaceous Research,2012,http://ruj.uj.edu.pl/xmlui/handle/item/3137,FAILED,not pdf content-type: text/html; charset=utf-8
10.1144/jm.24.1.55,Foraminiferal evidence for inner neritic deposition of Lower Cretaceous (Upper Aptian) radiolarian-rich black shales on the Western Australian margin,Journal of Micropalaeontology,2005,https://jm.copernicus.org/articles/24/55/2005/jm-24-55-2005.pdf,OK,4.16MB
10.1144/jmpaleo2016-016,"An aberrant bi-apical<i>Follicucullus</i>(Albaillellaria) from the late Guadalupian (Middle Permian), with the possible oldest evidence of double malformation in radiolarians",Journal of Micropalaeontology,2017,https://www.j-micropalaeontol.net/36/222/2017/jm-36-222-2017.pdf,OK,0.30MB
10.46717/igj.51.1.2ms-2018-06-24,"MESOZOIC TETHYAN RADIOLARITE AGE DETERMINATION, ZAGROS SUTURE ZONE, KURDISTAN, NE IRAQ",Iraqi Geological Journal,2018,https://igj-iraq.org/igj/index.php/igj/article/download/59/1405,FAILED,403 Client Error: Forbidden for url: https://igj-iraq.org/igj/index.php/igj/article/download/59/1405
10.1007/s00015-006-0605-2,"Turonian Radiolarians from Karnezeika, Argolis Peninsula, Peloponnesus (Greece)",Eclogae Geologicae Helvetiae,2006,https://sjg.springeropen.com/counter/pdf/10.1007/s00015-006-0605-2,OK,4.07MB
10.1002/jqs.784,Quaternary palaeoceanographic changes in the northern South China Sea (ODP Site 1146): radiolarian evidence,Journal of Quaternary Science,2003,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/jqs.784,FAILED,403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/jqs.784
10.1016/j.ejar.2018.06.007,Planktonic protozoan population in the Southeastern Mediterranean off Egypt,The Egyptian Journal of Aquatic Research,2018,https://doi.org/10.1016/j.ejar.2018.06.007,FAILED,not pdf content-type: application/json
10.5575/geosoc.112.535,"Early Permian radiolarians from mudstone at Hisage in the Dai area, Nagato Tectonic Zone, Southwest Japan",The Journal of the Geological Society of Japan,2006,https://www.jstage.jst.go.jp/article/geosoc/112/8/112_8_535/_pdf,OK,1.27MB
10.2478/v10096-009-0010-7,"The clasts of Cretaceous marls in the conglomerates of the Konradsheim Formation (Pöchlau quarry, Gresten Klippen Zone, Austria)",Geologica Carpathica,2009,https://doi.org/10.2478/v10096-009-0010-7,FAILED,not pdf content-type: application/json
10.1016/j.jafrearsci.2016.09.039,"Radiolarian biochronology of upper Anisian to upper Ladinian (Middle Triassic) blocks and tectonic slices of volcano-sedimentary successions in the Mersin Mélange, southern Turkey: New insights for the evolution of Neotethys",Journal of African Earth Sciences,2016,https://hdl.handle.net/11511/30392,FAILED,"HTTPSConnectionPool(host='hdl.handle.net', port=443): Max retries exceeded with url: /11511/30392 (Caused by ResponseError('too many 500 error responses'))"
10.5539/esr.v3n1p72,"Ostracod, Diatom and Radiolarian Biostratigraphy of the Niger Delta, Nigeria",Earth Science Research,2013,https://ccsenet.org/journal/index.php/esr/article/download/33107/19164,OK,1.63MB
10.46717/igj.54.1f.8ms-2021-06-28,Depositional Environment of the Ibrahim Formation and Determining the Oligocene-Early Miocene Boundary in Eastern Iraq,Iraqi Geological Journal,2021,https://igj-iraq.org/igj/index.php/igj/article/download/509/512,FAILED,not pdf content-type: text/html
10.37590/able.v42.art68,Radiolaria Cell Measurement Lab,Advances in Biology Laboratory Education,2022,https://www.ableweb.org/volumes/vol-42/?art=68,OK,0.35MB
10.9795/bullgsj.71.239,Radiolarian-inspired art design: Simplification and identification,BULLETIN OF THE GEOLOGICAL SURVEY OF JAPAN,2020,https://www.jstage.jst.go.jp/article/bullgsj/71/4/71_239/_pdf,OK,1.95MB
10.17738/ajes.2018.0013,"Jurassic–Cretaceous radiolarian-bearing strata from the Gresten Klippen Zone and the St. Veit Klippen Zone (Wienerwald, Eastern Alps, Austria): Implications for stratigraphy and paleogeography",Mitteilungen der Österreichischen Geologischen Gesellschaft/Austrian journal of earth sciences,2018,https://sciendo.com/pdf/10.17738/ajes.2018.0013,FAILED,[Errno 2] No such file or directory: '放射虫论文_OA_download\\lczka_2018 - Mitteilungen der Österreichischen Geologischen Gesellschaft_Austrian journal of earth sciences - Jurassic–Cretaceous radiolarian-bearing strata from the Gresten Klippen Zone and the St. Veit K.pdf'
10.1093/petrology/egq054,High-pressure Hydrous Phase Relations of Radiolarian Clay and Implications for the Involvement of Subducted Sediment in Arc Magmatism,Journal of Petrology,2010,https://academic.oup.com/petrology/article-pdf/51/11/2211/16670565/egq054.pdf,FAILED,403 Client Error: Forbidden for url: https://academic.oup.com/petrology/article-pdf/51/11/2211/16670565/egq054.pdf
10.5252/g2017n3a5,Paleozoic radiolarian biostratigraphy,Geodiversitas,2017,https://zenodo.org/record/5380585,FAILED,not pdf content-type: text/html; charset=utf-8
10.1016/j.dsr2.2005.07.009,Radiolarians in the Sea of Okhotsk and their ecological implication for paleoenvironmental reconstructions,Deep Sea Research Part II Topical Studies in Oceanography,2005,https://www.sciencedirect.com/science/article/pii/S0967064505001931,FAILED,403 Client Error: Forbidden for url: https://www.sciencedirect.com/science/article/pii/S0967064505001931
10.2973/odp.proc.sr.119.137.1991,"Radiolarians from the Kerguelen Plateau, Leg 119",Unknown,1991,https://doi.org/10.2973/odp.proc.sr.119.137.1991,FAILED,not pdf content-type: application/json
10.1371/journal.pone.0104297,Intracellular Diversity of the V4 and V9 Regions of the 18S rRNA in Marine Protists (Radiolarians) Assessed by High-Throughput Sequencing,PLoS ONE,2014,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0104297&type=printable,OK,1.25MB
10.2973/odp.proc.sr.120.192.1992,"Antarctic Neogene Radiolarians from the Kerguelen Plateau, Legs 119 and 120",Unknown,1992,https://doi.org/10.2973/odp.proc.sr.120.192.1992,FAILED,not pdf content-type: application/json
10.2973/odp.proc.sr.145.107.1995,"Miocene to Pleistocene Radiolarian Biostratigraphy of North Pacific Sites 881, 884, 885, 886, and 887",Unknown,1995,https://doi.org/10.2973/odp.proc.sr.145.107.1995,FAILED,not pdf content-type: application/json
10.2973/odp.proc.sr.138.111.1995,"Radiolarian Stratigraphy, Leg 138",Unknown,1995,https://doi.org/10.2973/odp.proc.sr.138.111.1995,FAILED,not pdf content-type: application/json
10.2973/odp.proc.sr.120.177.1992,"Radiolarian Paleogene Biostratigraphy in the Southern Indian Ocean, Leg 120",Unknown,1992,https://doi.org/10.2973/odp.proc.sr.120.177.1992,FAILED,not pdf content-type: application/json
10.1017/jpa.2016.96,Middle and Late Jurassic radiolarians from the Neotethys suture in the Eastern Alps,Journal of Paleontology,2016,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/58CBA15B385E7A48A31AF7B43B868768/S0022336016000962a.pdf/div-class-title-middle-and-late-jurassic-radiolarians-from-the-neotethys-suture-in-the-eastern-alps-div.pdf,OK,7.80MB
10.1007/s00015-007-1228-y,Living radiolarian feeding mechanisms: new light on past marine ecosystems,Swiss Journal of Geosciences,2007,https://sjg.springeropen.com/counter/pdf/10.1007/s00015-007-1228-y,OK,0.82MB
10.1111/j.1529-8817.2006.00206.x,"UNICELLULAR CYANOBIONTS IN OPEN OCEAN DINOFLAGELLATES, RADIOLARIANS, AND TINTINNIDS: ULTRASTRUCTURAL CHARACTERIZATION AND IMMUNO‐LOCALIZATION OF PHYCOERYTHRIN AND NITROGENASE<sup>1</sup>",Journal of Phycology,2006,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1529-8817.2006.00206.x,FAILED,403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1529-8817.2006.00206.x
10.2973/odp.proc.sr.117.132.1991,"Composition and Biostratigraphy of Radiolarian Assemblages from an Area of Upwelling (Northwestern Arabian Sea, Leg 117)",Unknown,1991,https://doi.org/10.2973/odp.proc.sr.117.132.1991,FAILED,not pdf content-type: application/json
10.1007/s00015-006-0609-y,"The plankton turnover at the Permo-Triassic boundary, emphasis on radiolarians",Eclogae Geologicae Helvetiae,2006,https://sjg.springeropen.com/counter/pdf/10.1007/s00015-006-0609-y,OK,0.52MB
10.1144/jm.24.2.97,New species of prunoid radiolarians from the Antarctic Neogene,Journal of Micropalaeontology,2005,https://jm.copernicus.org/articles/24/97/2005/jm-24-97-2005.pdf,OK,3.76MB
10.1016/0377-8398(93)90023-q,New calibration of Neogene radiolarian events in the North Pacific,Marine Micropaleontology,1993,https://doi.org/10.1016/0377-8398(93)90023-q,FAILED,not pdf content-type: application/json
10.1127/pala/266/2002/1,Radiolarian Biostratigraphy of Peninsular Malaysia and Implications for Regional Palaeotectonics and Palaeogeography,Palaeontographica Abteilung A,2002,https://rune.une.edu.au/web/retrieve/593ca4fc-8ab7-4ac7-8195-a88f99365b98,OK,3.63MB
10.7186/bgsm57201105,Radiolarian Biostratigraphy of Peninsular Malaysia — An update,Bulletin of the Geological Society of Malaysia,2011,http://www.gsm.org.my/products/702001-100363-PDF.pdf,FAILED,404 Client Error: Not Found for url: http://gsm.org.my/products/702001-100363-PDF.pdf
10.2973/odp.proc.sr.129.121.1992,"Jurassic and Early Cretaceous Radiolarians from Leg 129, Sites 800 and 801, Western Pacific Ocean",Unknown,1992,https://doi.org/10.2973/odp.proc.sr.129.121.1992,FAILED,not pdf content-type: application/json
10.1016/j.epsl.2016.08.006,A silicon depleted North Atlantic since the Palaeogene: Evidence from sponge and radiolarian silicon isotopes,Earth and Planetary Science Letters,2016,https://doi.org/10.1016/j.epsl.2016.08.006,FAILED,not pdf content-type: application/json
10.5575/geosoc.109.96,Radiolarian biozonation for the upper Quaternary in the Japan Sea.,The Journal of the Geological Society of Japan,2003,https://www.jstage.jst.go.jp/article/geosoc1893/109/2/109_2_96/_pdf,OK,1.42MB
10.5109/11807,"Detailed vertical distribution of radiolarian assemblage (0-3000 m, fifteen layers) in the central subarctic Pacific, June 2006",Memoirs of the Faculty of Science Kyushu University Series D Earth and planetary sciences,2008,https://catalog.lib.kyushu-u.ac.jp/opac_download_md/11807/MFSD32_1p049.pdf,FAILED,"[Errno 2] No such file or directory: '放射虫论文_OA_download\\Tanaka_2008 - Memoirs of the Faculty of Science Kyushu University Series D Earth and planetary sciences - Detailed vertical distribution of radiolarian assemblage (0-3000 m, fifteen layers) in the central su.pdf'"
10.1007/s00015-007-1237-x,Jurassic radiolarian-bearing series of Tunisia: biostratigraphy and significance to western Tethys correlations,Swiss Journal of Geosciences,2007,https://sjg.springeropen.com/counter/pdf/10.1007/s00015-007-1237-x,OK,3.71MB
10.1007/s00015-006-0604-3,"Radiolarian faunal turnover through the Paleocene-Eocene transition, Mead Stream, New Zealand",Eclogae Geologicae Helvetiae,2006,https://sjg.springeropen.com/counter/pdf/10.1007/s00015-006-0604-3,OK,2.99MB
10.1016/s0377-8398(96)00011-4,"Experimental and observational studies of radiolarian physiological ecology, 6. Effects of silicate-supplemented seawater on the longevity and weight gain of spongiose radiolarians Spongaster tetras and Dictyocoryne truncatum",Marine Micropaleontology,1997,https://doi.org/10.1016/s0377-8398(96)00011-4,FAILED,not pdf content-type: application/json
10.5252/geodiversitas2021v43a21,Catalogue of Cenozoic radiolarian genera (Class Polycystinea),Geodiversitas,2021,http://hdl.handle.net/10498/35275,FAILED,"HTTPSConnectionPool(host='rodin.uca.es', port=443): Max retries exceeded with url: /handle/10498/35275 (Caused by ReadTimeoutError(""HTTPSConnectionPool(host='rodin.uca.es', port=443): Read timed out. (read timeout=60)""))"
10.1007/s11434-007-0302-1,"Characteristics of Early Eocene radiolarian assemblages of the Saga area, southern Tibet and their constraint on the closure history of the Tethys",Chinese Science Bulletin,2007,https://ruj.uj.edu.pl/xmlui/handle/item/63043,FAILED,not pdf content-type: text/html; charset=utf-8
10.2973/odp.proc.sr.120.165.1992,"Early to Middle Miocene Radiolarian Stratigraphy of the Kerguelen Plateau, Leg 120",Unknown,1992,https://doi.org/10.2973/odp.proc.sr.120.165.1992,FAILED,not pdf content-type: application/json
10.4454/ofioliti.v31i1.325,"GEOCHEMISTRY, TECTONO-MAGMATIC DISCRIMINATION AND RADIOLARIAN AGES OF BASIC EXTRUSIVES WITHIN THE IZMIR-ANKARA SUTURE BELT (NW TURKEY): TIME CONSTRAINTS FOR THE NEOTETHYAN EVOLUTION",OpenMETU (Middle East Technical University),2006,https://hdl.handle.net/11511/52905,FAILED,"HTTPSConnectionPool(host='hdl.handle.net', port=443): Max retries exceeded with url: /11511/52905 (Caused by ResponseError('too many 500 error responses'))"
10.4202/app.2008.0076,Neogene Radiolarian Biostratigraphy and Faunal Evolution Rates in the Eastern Equatorial Pacific ODP Sites 845 and 1241,Acta Palaeontologica Polonica,2009,https://www.app.pan.pl/article/item/article/item/app20080076.html?pdf=39,OK,1.37MB
10.1016/j.jseaes.2012.08.002,Devonian radiolarians and tentaculitids from central Laos,Journal of Asian Earth Sciences,2012,https://figshare.com/articles/journal_contribution/Devonian_radiolarians_and_tentaculitids_from_central_Laos/22902644,FAILED,403 Client Error: Forbidden for url: https://figshare.com/articles/journal_contribution/Devonian_radiolarians_and_tentaculitids_from_central_Laos/22902644
10.5252/g2017n3a3,An illustrated catalogue and revised classification of paleozoic radiolarian genera,Geodiversitas,2017,http://hdl.handle.net/20.500.12210/34364,FAILED,"HTTPConnectionPool(host='127.0.0.1', port=7890): Max retries exceeded with url: http://hdl.handle.net/20.500.12210/34364 (Caused by ResponseError('too many 500 error responses'))"
10.5252/g2009n2a2,"An illustrated and revised catalogue of Mesozoic radiolarian genera — objectives, concepts and guide for users",Geodiversitas,2009,https://zenodo.org/record/4688220,FAILED,not pdf content-type: text/html; charset=utf-8
10.1038/s41598-019-42771-0,Adding a new dimension to investigations of early radiolarian evolution,Scientific Reports,2019,https://www.nature.com/articles/s41598-019-42771-0.pdf,OK,2.39MB
10.1144/jmpaleo2012-027,Jørgensen’s polycystine radiolarian slide collection and new species,Journal of Micropalaeontology,2014,https://jm.copernicus.org/articles/33/21/2014/jm-33-21-2014.pdf,OK,14.41MB
10.5281/zenodo.13175160,Siliceous biota (radiolarians and sponges) and the Late Devonian biotic crisis: The Polish reference,Unknown,2002,https://doi.org/10.5281/zenodo.13175160,FAILED,not pdf content-type: text/html; charset=utf-8
10.5194/cp-16-2415-2020,"Technical note: A new automated radiolarian image acquisition, stacking, processing, segmentation and identification workflow",Climate of the past,2020,https://cp.copernicus.org/articles/16/2415/2020/cp-16-2415-2020.pdf,OK,5.89MB
10.1111/let.12374,"Integrated conodont and radiolarian biostratigraphy of the upper Norian in Baoshan Block, Southwestern China",Lethaia,2020,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/let.12374,FAILED,403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/let.12374
10.1016/j.earscirev.2021.103672,Early Paleozoic radiolarian plankton diversity and the Great Ordovician Biodiversification Event,Earth-Science Reviews,2021,https://www.sciencedirect.com/science/article/am/pii/S0012825221001732,FAILED,403 Client Error: Forbidden for url: https://www.sciencedirect.com/science/article/am/pii/S0012825221001732
10.1186/s40645-019-0256-3,Paleoceanographic changes in the Northern East China Sea during the last 400 kyr as inferred from radiolarian assemblages (IODP Site U1429),Progress in Earth and Planetary Science,2019,https://progearthplanetsci.springeropen.com/track/pdf/10.1186/s40645-019-0256-3,OK,5.80MB
10.4454/ofioliti.v32i2.350,AGE OF THE JURASSIC RADIOLARIAN CHERT FORMATION FROM THE ZLATAR MOUNTAIN (SW SERBIA),edoc (University of Basel),2007,https://edoc.unibas.ch/13098/,FAILED,not pdf content-type: text/html; charset=utf-8
10.26879/718,Taxonomy and species diversity of Holocene pylonioid radiolarians from surface sediments of the northeastern Indian Ocean,Palaeontologia Electronica,2017,http://palaeo-electronica.org/content/pdfs/718.pdf,FAILED,not pdf content-type: application/json
10.4202/app.2011.0040,Volgian and Santonian—Campanian Radiolarian Events of the Russian Arctic and Pacific Rim,Acta Palaeontologica Polonica,2012,https://www.app.pan.pl/article/item/article/item/app20110040.html?pdf=39,OK,1.37MB
10.4454/ofioliti.v25i1.114,"JURASSIC RADIOLARIAN BIOSTRATIGRAPHY OF THE SEDIMENTARY COVER OF OPHIOLITES IN THE MIRDITA AREA, ALBANIA: NEW DATA",Ofioliti,2000,https://www.ofioliti.it/index.php/ofioliti/article/view/114/114,FAILED,not pdf content-type: text/html; charset=utf-8
10.1093/plankt/fbg107,First record of a brackish radiolarian (Polycystina): Lophophaena rioplatensis n. sp. in the Rio de la Plata estuary,Journal of Plankton Research,2003,https://academic.oup.com/plankt/article-pdf/25/12/1551/4221398/fbg107.pdf,FAILED,403 Client Error: Forbidden for url: https://academic.oup.com/plankt/article-pdf/25/12/1551/4221398/fbg107.pdf
10.2973/odp.proc.sr.145.110.1995,"EoceneOligocene Radiolarians from Leg 145, North Pacific",Unknown,1995,https://doi.org/10.2973/odp.proc.sr.145.110.1995,FAILED,not pdf content-type: application/json
10.4454/ofioliti.v32i2.353,DISCOVERY OF THE OLDEST (UPPER LADINIAN TO MIDDLE CARNIAN) RADIOLARIAN ASSEMBLAGES FROM THE BORNOVA FLYSCH ZONE IN WESTERN TURKEY: IMPLICATIONS FOR THE EVOLUTION OF THE NEOTETHYAN IZMIR-ANKARA OCEAN,Ofioliti,2007,https://www.ofioliti.it/index.php/ofioliti/article/view/353/346,FAILED,not pdf content-type: text/html; charset=utf-8
10.1111/jpy.12174,"<scp><i>B</i></scp><i>randtodinium</i> gen. nov. and <scp><i>B</i></scp><i>. nutricula</i> comb. <scp>N</scp>ov. (<scp>D</scp>inophyceae), a dinoflagellate commonly found in symbiosis with polycystine radiolarians",Journal of Phycology,2014,https://hal.sorbonne-universite.fr/hal-01140979/document,FAILED,not pdf content-type: text/html; charset=utf-8
10.5252/g2017n3a6,Inventory of Paleozoic radiolarian species (1880–2016),Geodiversitas,2017,https://zenodo.org/record/5207244,FAILED,not pdf content-type: text/html; charset=utf-8
10.1144/0262-821x10-026,New species of Neogene radiolarians from the Southern Ocean,Journal of Micropalaeontology,2012,https://jm.copernicus.org/articles/31/29/2012/jm-31-29-2012.pdf,OK,1.89MB
10.5194/essd-13-5441-2021,The Southern Ocean Radiolarian (SO-RAD) dataset: a new compilation of modern radiolarian census data,Earth system science data,2021,https://essd.copernicus.org/articles/13/5441/2021/essd-13-5441-2021.pdf,OK,3.76MB
